Entity,Code,Year,Death rate in ongoing wars (low estimate) - Conflict type: civil war,Death rate in ongoing wars (low estimate) - Conflict type: others (non-civil)
Sub-Saharan Africa,,1837,0,0
Sub-Saharan Africa,,1838,0,0
Sub-Saharan Africa,,1839,0,0
Sub-Saharan Africa,,1840,0,0
Sub-Saharan Africa,,1841,0,0
Sub-Saharan Africa,,1842,0,0
Sub-Saharan Africa,,1843,0,0
Sub-Saharan Africa,,1844,0,0
Sub-Saharan Africa,,1845,0,0
Sub-Saharan Africa,,1846,0,0.179069
Sub-Saharan Africa,,1847,0,0.17692989
Sub-Saharan Africa,,1848,0,0
Sub-Saharan Africa,,1849,0,0
Sub-Saharan Africa,,1850,0,0.04199768
Sub-Saharan Africa,,1851,0,2.5699763
Sub-Saharan Africa,,1852,0,0.80789256
Sub-Saharan Africa,,1853,0,0.7641583
Sub-Saharan Africa,,1854,0,0
Sub-Saharan Africa,,1855,0,10.095339
Sub-Saharan Africa,,1856,0,0
Sub-Saharan Africa,,1857,0,1.2703826
Sub-Saharan Africa,,1858,0,1.2667238
Sub-Saharan Africa,,1859,0,1.2629355
Sub-Saharan Africa,,1860,0,4.4124575
Sub-Saharan Africa,,1861,0,4.3983083
Sub-Saharan Africa,,1862,0,0
Sub-Saharan Africa,,1863,0,0
Sub-Saharan Africa,,1864,0,2.1531484
Sub-Saharan Africa,,1865,0,0
Sub-Saharan Africa,,1866,0,0
Sub-Saharan Africa,,1867,0,0
Sub-Saharan Africa,,1868,0,0
Sub-Saharan Africa,,1869,0,0
Sub-Saharan Africa,,1870,0,0
Sub-Saharan Africa,,1871,0,0
Sub-Saharan Africa,,1872,0,0
Sub-Saharan Africa,,1873,0,1.6314107
Sub-Saharan Africa,,1874,0,1.6246223
Sub-Saharan Africa,,1875,0,0
Sub-Saharan Africa,,1876,0,0
Sub-Saharan Africa,,1877,0,0.9788269
Sub-Saharan Africa,,1878,0,0.97469157
Sub-Saharan Africa,,1879,0,8.330503
Sub-Saharan Africa,,1880,0,0
Sub-Saharan Africa,,1881,9.0777645,0
Sub-Saharan Africa,,1882,9.037291,0
Sub-Saharan Africa,,1883,8.996494,0
Sub-Saharan Africa,,1884,9.125162,0
Sub-Saharan Africa,,1885,9.083764,0
Sub-Saharan Africa,,1886,0,0
Sub-Saharan Africa,,1887,0,0
Sub-Saharan Africa,,1888,0,0
Sub-Saharan Africa,,1889,0,0
Sub-Saharan Africa,,1890,0,0.49085066
Sub-Saharan Africa,,1891,0,0.4983079
Sub-Saharan Africa,,1892,0,6.722513
Sub-Saharan Africa,,1893,0,12.870468
Sub-Saharan Africa,,1894,0,4.5248513
Sub-Saharan Africa,,1895,0,0.93475676
Sub-Saharan Africa,,1896,0,3.6570933
Sub-Saharan Africa,,1897,0,4.604704
Sub-Saharan Africa,,1898,0,3.954824
Sub-Saharan Africa,,1899,0,5.4424357
Sub-Saharan Africa,,1900,0,5.264372
Sub-Saharan Africa,,1901,0,0.755322
Sub-Saharan Africa,,1902,0,0.43355134
Sub-Saharan Africa,,1903,0,0.43303114
Sub-Saharan Africa,,1904,0,0
Sub-Saharan Africa,,1905,0,0
Sub-Saharan Africa,,1906,0,0
Sub-Saharan Africa,,1907,0,0
Sub-Saharan Africa,,1908,0,0.19728361
Sub-Saharan Africa,,1909,0,0.19690353
Sub-Saharan Africa,,1910,0,0.1964602
Sub-Saharan Africa,,1911,0,0.19595541
Sub-Saharan Africa,,1912,0,0
Sub-Saharan Africa,,1913,0,0
Sub-Saharan Africa,,1914,0,0
Sub-Saharan Africa,,1915,0,0
Sub-Saharan Africa,,1916,0,0
Sub-Saharan Africa,,1917,0,0
Sub-Saharan Africa,,1918,0,0
Sub-Saharan Africa,,1919,0,0
Sub-Saharan Africa,,1920,0,0
Sub-Saharan Africa,,1921,0,0
Sub-Saharan Africa,,1922,0,0
Sub-Saharan Africa,,1923,0,0
Sub-Saharan Africa,,1924,0,0
Sub-Saharan Africa,,1925,0,0
Sub-Saharan Africa,,1926,0,0
Sub-Saharan Africa,,1927,0,0
Sub-Saharan Africa,,1928,0,0
Sub-Saharan Africa,,1929,0,0
Sub-Saharan Africa,,1930,0,0
Sub-Saharan Africa,,1931,0,0
Sub-Saharan Africa,,1932,0,0
Sub-Saharan Africa,,1933,0,0
Sub-Saharan Africa,,1934,0,0
Sub-Saharan Africa,,1935,0,0
Sub-Saharan Africa,,1936,0,0
Sub-Saharan Africa,,1937,0,0
Sub-Saharan Africa,,1938,0,0
Sub-Saharan Africa,,1939,0,0
Sub-Saharan Africa,,1940,0,7.591709
Sub-Saharan Africa,,1941,0,7.483538
Sub-Saharan Africa,,1942,0,0
Sub-Saharan Africa,,1943,0,0
Sub-Saharan Africa,,1944,0,0
Sub-Saharan Africa,,1945,0,0
Sub-Saharan Africa,,1946,0,0
Sub-Saharan Africa,,1947,0,0
Sub-Saharan Africa,,1948,0,0
Sub-Saharan Africa,,1949,0,0
Sub-Saharan Africa,,1950,0,0
Sub-Saharan Africa,,1951,0,0
Sub-Saharan Africa,,1952,0,0
Sub-Saharan Africa,,1953,0,0
Sub-Saharan Africa,,1954,0,0
Sub-Saharan Africa,,1955,0,0
Sub-Saharan Africa,,1956,0,0
Sub-Saharan Africa,,1957,0,0
Sub-Saharan Africa,,1958,0,0
Sub-Saharan Africa,,1959,0,0
Sub-Saharan Africa,,1960,0,0
Sub-Saharan Africa,,1961,0,0
Sub-Saharan Africa,,1962,0,0
Sub-Saharan Africa,,1963,0,0
Sub-Saharan Africa,,1964,0,0
Sub-Saharan Africa,,1965,0,0
Sub-Saharan Africa,,1966,0,0
Sub-Saharan Africa,,1967,0.60135305,0
Sub-Saharan Africa,,1968,0.58587086,0
Sub-Saharan Africa,,1969,0.57065016,0
Sub-Saharan Africa,,1970,0.5556726,0
Sub-Saharan Africa,,1971,0,0
Sub-Saharan Africa,,1972,0,0
Sub-Saharan Africa,,1973,0,0
Sub-Saharan Africa,,1974,0,0
Sub-Saharan Africa,,1975,0.68942577,0
Sub-Saharan Africa,,1976,0.6705096,0
Sub-Saharan Africa,,1977,0.65236664,0
Sub-Saharan Africa,,1978,0.63401186,0.25229567
Sub-Saharan Africa,,1979,0.6156265,0.24497947
Sub-Saharan Africa,,1980,0.59833497,0
Sub-Saharan Africa,,1981,0.5813379,0
Sub-Saharan Africa,,1982,0.5645832,0
Sub-Saharan Africa,,1983,0.5489375,0
Sub-Saharan Africa,,1984,0.5336981,0
Sub-Saharan Africa,,1985,0.5184428,0
Sub-Saharan Africa,,1986,0.50358915,0
Sub-Saharan Africa,,1987,0.48897892,0
Sub-Saharan Africa,,1988,0.47488576,0
Sub-Saharan Africa,,1989,0.46135706,0
Sub-Saharan Africa,,1990,0.44844776,0
Sub-Saharan Africa,,1991,0.43639702,0
Sub-Saharan Africa,,1992,0.42495587,0
Sub-Saharan Africa,,1993,0.41378465,0
Sub-Saharan Africa,,1994,1.4438876,0
Sub-Saharan Africa,,1995,0.39294192,0
Sub-Saharan Africa,,1996,0.38272792,0
Sub-Saharan Africa,,1997,0.37301192,0
Sub-Saharan Africa,,1998,0.882297,0
Sub-Saharan Africa,,1999,0.85995126,0
Sub-Saharan Africa,,2000,0.83809745,0
Sub-Saharan Africa,,2001,0.8165386,0
Sub-Saharan Africa,,2002,0.7953698,0
Sub-Saharan Africa,,2003,0,0
Sub-Saharan Africa,,2004,0,0
Sub-Saharan Africa,,2005,0,0
Sub-Saharan Africa,,2006,0,0
Sub-Saharan Africa,,2007,0,0
Sub-Saharan Africa,,2008,0,0
Sub-Saharan Africa,,2009,0,0
Sub-Saharan Africa,,2010,0,0
Sub-Saharan Africa,,2011,0,0
World,OWID_WRL,1816,0.23216525,0.20262553
World,OWID_WRL,1817,0.23052864,0.23418336
World,OWID_WRL,1818,0.2288747,1.6178464
World,OWID_WRL,1819,0.17433095,1.5788639
World,OWID_WRL,1820,0.2947517,0
World,OWID_WRL,1821,0.30565134,0.22789392
World,OWID_WRL,1822,0.30273739,0.45292848
World,OWID_WRL,1823,0.30075806,0.43772808
World,OWID_WRL,1824,0.17522566,0.28885415
World,OWID_WRL,1825,0.08880771,0.6024715
World,OWID_WRL,1826,0.21611597,0.83456045
World,OWID_WRL,1827,0.21465276,3.0819757
World,OWID_WRL,1828,0.18490918,2.1331995
World,OWID_WRL,1829,0.18372822,1.7584304
World,OWID_WRL,1830,0.2599835,0.29221287
World,OWID_WRL,1831,3.3355393,0
World,OWID_WRL,1832,0.20103252,0
World,OWID_WRL,1833,0,0.1642131
World,OWID_WRL,1834,0,0.1634489
World,OWID_WRL,1835,0.07832277,0
World,OWID_WRL,1836,0.07795347,0.058423374
World,OWID_WRL,1837,0.015616376,0.38908035
World,OWID_WRL,1838,0.05687623,0.1392145
World,OWID_WRL,1839,0.45575273,0.17081471
World,OWID_WRL,1840,0.30409744,0.08943561
World,OWID_WRL,1841,0.18042213,0.5781987
World,OWID_WRL,1842,0.17961444,0.47009796
World,OWID_WRL,1843,0.055594195,0.83876127
World,OWID_WRL,1844,0.055346575,0.34832948
World,OWID_WRL,1845,0.05557801,0.7982732
World,OWID_WRL,1846,0.040338043,0.8516429
World,OWID_WRL,1847,0.04015272,0.3186031
World,OWID_WRL,1848,0.6323525,0.9568221
World,OWID_WRL,1849,1.0473874,0.39050856
World,OWID_WRL,1850,0,0.09535815
World,OWID_WRL,1851,0.53077495,0.24935317
World,OWID_WRL,1852,0.7328452,0.12398872
World,OWID_WRL,1853,0.79539627,2.6335657
World,OWID_WRL,1854,0.5918881,2.8419821
World,OWID_WRL,1855,0.591098,3.7139065
World,OWID_WRL,1856,0.5902578,3.1427598
World,OWID_WRL,1857,1.1142058,0.24950577
World,OWID_WRL,1858,1.3166217,0.14263466
World,OWID_WRL,1859,1.5175654,0.41875064
World,OWID_WRL,1860,0.5860467,0.7944291
World,OWID_WRL,1861,3.1394227,0.31735042
World,OWID_WRL,1862,4.0132484,0.24805155
World,OWID_WRL,1863,3.1216106,0.37001568
World,OWID_WRL,1864,3.112167,1.4607897
World,OWID_WRL,1865,2.586653,1.3437731
World,OWID_WRL,1866,0.061620284,2.2757819
World,OWID_WRL,1867,0.061424635,1.051623
World,OWID_WRL,1868,0.21184492,0.8424846
World,OWID_WRL,1869,0.15006837,0.71214944
World,OWID_WRL,1870,0,4.3030467
World,OWID_WRL,1871,0.4091727,3.568879
World,OWID_WRL,1872,0,0.21409114
World,OWID_WRL,1873,0.048378024,0.29777887
World,OWID_WRL,1874,0.048119362,0.11703918
World,OWID_WRL,1875,0,0.46228203
World,OWID_WRL,1876,0.40326443,0.90796083
World,OWID_WRL,1877,2.2962062,1.4815884
World,OWID_WRL,1878,0.39889157,1.387664
World,OWID_WRL,1879,0,0.95711476
World,OWID_WRL,1880,0,0.3585963
World,OWID_WRL,1881,0.64723206,0.35625902
World,OWID_WRL,1882,0.642778,0.34486437
World,OWID_WRL,1883,0.6381291,0.35256633
World,OWID_WRL,1884,0.6454718,0.1657404
World,OWID_WRL,1885,0.64073247,0.76745725
World,OWID_WRL,1886,0,0.5713564
World,OWID_WRL,1887,0,0.581266
World,OWID_WRL,1888,0,0.5347627
World,OWID_WRL,1889,0,0.6662046
World,OWID_WRL,1890,0,0.03385105
World,OWID_WRL,1891,0.33376202,0.0344233
World,OWID_WRL,1892,0,0.46195745
World,OWID_WRL,1893,0,0.9965129
World,OWID_WRL,1894,0,0.51569086
World,OWID_WRL,1895,0,1.0000334
World,OWID_WRL,1896,0,0.6318383
World,OWID_WRL,1897,0,0.42683655
World,OWID_WRL,1898,0,0.2986299
World,OWID_WRL,1899,1.6819375,0.3588547
World,OWID_WRL,1900,1.5297091,0.50462043
World,OWID_WRL,1901,1.528447,0.1450802
World,OWID_WRL,1902,1.5162363,0.028020047
World,OWID_WRL,1903,0,0.027787112
World,OWID_WRL,1904,0,2.4164999
World,OWID_WRL,1905,0,2.2460115
World,OWID_WRL,1906,0,0.041051265
World,OWID_WRL,1907,0,0.058147628
World,OWID_WRL,1908,0,0.012222209
World,OWID_WRL,1909,0,0.14364664
World,OWID_WRL,1910,0,0.011941155
World,OWID_WRL,1911,0.10139554,0.28289354
World,OWID_WRL,1912,0,2.3379831
World,OWID_WRL,1913,0.113073476,2.3505495
World,OWID_WRL,1914,0,70.4957
World,OWID_WRL,1915,0.1392946,87.89248
World,OWID_WRL,1916,0.13836986,86.427826
World,OWID_WRL,1917,0,86.108986
World,OWID_WRL,1918,7.781642,57.209595
World,OWID_WRL,1919,7.346055,2.8181875
World,OWID_WRL,1920,6.9791703,1.3317072
World,OWID_WRL,1921,0.9856536,1.1343755
World,OWID_WRL,1922,1.4817188,0.64788014
World,OWID_WRL,1923,0.44330522,0.00984553
World,OWID_WRL,1924,0.6241102,0.009759665
World,OWID_WRL,1925,1.9135069,0.009673846
World,OWID_WRL,1926,1.7716879,0
World,OWID_WRL,1927,1.2991976,0
World,OWID_WRL,1928,1.2875715,0
World,OWID_WRL,1929,0,0.15275453
World,OWID_WRL,1930,2.8885047,0
World,OWID_WRL,1931,0,1.4302329
World,OWID_WRL,1932,0,1.9243664
World,OWID_WRL,1933,0,0.54080176
World,OWID_WRL,1934,0,0.63241565
World,OWID_WRL,1935,0,0.70712465
World,OWID_WRL,1936,2.2687275,0.42805666
World,OWID_WRL,1937,2.298433,8.415361
World,OWID_WRL,1938,2.2748291,8.384106
World,OWID_WRL,1939,2.2524636,15.991587
World,OWID_WRL,1940,0,19.540632
World,OWID_WRL,1941,0,184.34717
World,OWID_WRL,1942,0,180.71945
World,OWID_WRL,1943,0,182.51796
World,OWID_WRL,1944,0,189.80954
World,OWID_WRL,1945,0,186.14833
World,OWID_WRL,1946,12.554101,0
World,OWID_WRL,1947,12.376302,0.034364864
World,OWID_WRL,1948,12.272298,0.18923883
World,OWID_WRL,1949,12.143154,0.13863434
World,OWID_WRL,1950,0,5.433368
World,OWID_WRL,1951,0,5.3399076
World,OWID_WRL,1952,0,5.2429314
World,OWID_WRL,1953,0,5.143772
World,OWID_WRL,1954,0,0.01780852
World,OWID_WRL,1955,0,0.017458279
World,OWID_WRL,1956,0,0.04272067
World,OWID_WRL,1957,0,0
World,OWID_WRL,1958,0,0.030830394
World,OWID_WRL,1959,0,0
World,OWID_WRL,1960,0,0
World,OWID_WRL,1961,0,0
World,OWID_WRL,1962,0.33552688,0.06726515
World,OWID_WRL,1963,0.32828844,0
World,OWID_WRL,1964,0.35485914,0
World,OWID_WRL,1965,0.34743813,3.7372282
World,OWID_WRL,1966,0.3403801,3.4618268
World,OWID_WRL,1967,0.37675893,3.5364964
World,OWID_WRL,1968,0.36918783,3.3249729
World,OWID_WRL,1969,0.36166736,3.2869968
World,OWID_WRL,1970,0.10285,3.2150428
World,OWID_WRL,1971,0.33907408,3.1282506
World,OWID_WRL,1972,0.04395755,3.0676184
World,OWID_WRL,1973,0.043113146,3.3030636
World,OWID_WRL,1974,0.03752436,0.32646194
World,OWID_WRL,1975,0.1137497,0.4433561
World,OWID_WRL,1976,0.123811655,0.120650604
World,OWID_WRL,1977,0.20446424,0.11855748
World,OWID_WRL,1978,0.20094922,0.136281
World,OWID_WRL,1979,0.048798412,0.84379345
World,OWID_WRL,1980,0.047939245,0.57045674
World,OWID_WRL,1981,0.047087207,0.5603179
World,OWID_WRL,1982,0.31962022,0.64056396
World,OWID_WRL,1983,0.35218716,0.54037404
World,OWID_WRL,1984,0.34601238,0.5308999
World,OWID_WRL,1985,0.302971,0.52153546
World,OWID_WRL,1986,0.29757276,0.5122429
World,OWID_WRL,1987,0.29221717,0.5704692
World,OWID_WRL,1988,0.28703007,0.49409467
World,OWID_WRL,1989,0.28201777,0
World,OWID_WRL,1990,0.2945424,0.026337061
World,OWID_WRL,1991,0.3304746,0.3742049
World,OWID_WRL,1992,0.36299694,0.08495905
World,OWID_WRL,1993,0.384826,0.08402032
World,OWID_WRL,1994,0.50221586,0.082783036
World,OWID_WRL,1995,0.3524278,0
World,OWID_WRL,1996,0.09994435,0
World,OWID_WRL,1997,0.08030632,0
World,OWID_WRL,1998,0.13021319,0.2963218
World,OWID_WRL,1999,0.15334459,0.31071106
World,OWID_WRL,2000,0.12678735,0.28852573
World,OWID_WRL,2001,0.09826744,0.09146592
World,OWID_WRL,2002,0.0969935,0.06377676
World,OWID_WRL,2003,0,0.059129946
World,OWID_WRL,2004,0,0
World,OWID_WRL,2005,0,0
World,OWID_WRL,2006,0,0.009358225
World,OWID_WRL,2007,0,0
World,OWID_WRL,2008,0.054315936,0
World,OWID_WRL,2009,0.050356958,0
World,OWID_WRL,2010,0,0
World,OWID_WRL,2011,0.1334186,0
